card_name,games_played,wins,winrate_pct,distinct_drafts,reliable
Spawning Pit,77,34,44.16,11,True
Fertile Ground,161,71,44.1,23,True
Talisman of Creativity,91,40,43.96,13,True
Sakura-Tribe Elder,203,89,43.84,29,True
Third Path Iconoclast,217,95,43.78,31,True
Eusocial Engineering,112,49,43.75,16,True
Memory Lapse,238,104,43.7,34,True
Mayhem Devil,119,52,43.7,17,True
Iron-Shield Elf,161,70,43.48,23,True
Reclamation Sage,189,82,43.39,27,True
Sheoldred's Edict,259,112,43.24,37,True
Fell,245,105,42.86,35,True
Colossal Skyturtle,119,51,42.86,17,True
Propagator Drone,70,30,42.86,10,True
Shi'ar Soldier,168,72,42.86,24,True
"Ultimo, Civilization's End",147,63,42.86,21,True
Veteran Beastrider,35,15,42.86,5,True
Hieroglyphic Illumination,168,72,42.86,24,True
Silent Clearing,105,45,42.86,15,True
Talisman of Progress,168,72,42.86,24,True
Umbral Collar Zealot,126,54,42.86,18,True
Arbor Elf,224,96,42.86,32,True
Call of the Death-Dweller,154,66,42.86,22,True
Faller's Faithful,105,45,42.86,15,True
Perilous Myr,42,18,42.86,6,True
Satyr Wayfinder,105,45,42.86,15,True
"Flopsie, Bumi's Buddy",7,3,42.86,1,False
"Skoa, Embermage",7,3,42.86,1,False
Sheltering Landscape,7,3,42.86,1,False
"Lluwen, Exchange Student",7,3,42.86,1,False
Pilgrim's Eye,7,3,42.86,1,False
Sonic Screwdriver,7,3,42.86,1,False
Confounding Riddle,238,101,42.44,34,True
Dismember,231,98,42.42,33,True
Ravenous Chupacabra,203,86,42.36,29,True
"Shuri, Vibranium Technologist",196,83,42.35,28,True
Night's Whisper,175,74,42.29,25,True
"Agent 13, Sharon Carter",140,59,42.14,20,True
Ka-Zar of the Savage Land,119,50,42.02,17,True
Lórien Revealed,231,97,41.99,33,True
The Eldest Reborn,210,88,41.9,30,True
Mind Stone,105,44,41.9,15,True
Steam Vents,203,85,41.87,29,True
Baleful Strix,196,82,41.84,28,True
Canyon Crab,91,38,41.76,13,True
Ponder,266,111,41.73,38,True
Behold the Unspeakable,168,70,41.67,24,True
Faithless Looting,161,67,41.61,23,True
Godless Shrine,154,64,41.56,22,True
Eviscerator's Insight,140,58,41.43,20,True
Hero of the Dunes,70,29,41.43,10,True
Victimize,266,110,41.35,38,True
Blackcleave Cliffs,133,55,41.35,19,True
Arms of Hadar,126,52,41.27,18,True
Demonic Tutor,245,101,41.22,35,True
Pack Guardian,56,23,41.07,8,True
"Eden, Seat of the Sanctum",224,92,41.07,32,True
Accursed Marauder,217,89,41.01,31,True
Shoreline Looter,203,83,40.89,29,True
Honored Hydra,140,57,40.71,20,True
Troll of Khazad-dûm,182,74,40.66,26,True
Expressive Iteration,224,91,40.62,32,True
"Killmonger, Scourge of Wakanda",175,71,40.57,25,True
Unburial Rites,210,85,40.48,30,True
Codecracker Hound,168,68,40.48,24,True
Environmental Scientist,42,17,40.48,6,True
Fatal Push,224,90,40.18,32,True
Live or Die,182,73,40.11,26,True
Thran Dynamo,35,14,40.0,5,True
Waker of Waves,161,64,39.75,23,True
Stock Up,245,97,39.59,35,True
Talisman of Dominance,119,47,39.5,17,True
Blood Crypt,147,58,39.46,21,True
Fell the Profane,175,69,39.43,25,True
Faerie Dreamthief,175,69,39.43,25,True
Life // Death,196,77,39.29,28,True
Undead Gladiator,56,22,39.29,8,True
Necromancy,217,85,39.17,31,True
Bane of Bala Ged,105,41,39.05,15,True
Preordain,224,87,38.84,32,True
Bonder's Ornament,49,19,38.78,7,True
"Joo Dee, One of Many",140,54,38.57,20,True
Dance of the Dead,231,89,38.53,33,True
Lose Focus,203,78,38.42,29,True
Miscalculation,245,94,38.37,35,True
Hard Evidence,175,67,38.29,25,True
Undercity Sewers,196,75,38.27,28,True
Bitter Triumph,217,83,38.25,31,True
Psychic Spiral,42,16,38.1,6,True
Highway Robbery,84,32,38.1,12,True
Elixir of Immortality,21,8,38.1,3,True
Thirst for Identity,98,37,37.76,14,True
Shefet Archfiend,196,74,37.76,28,True
Remand,182,68,37.36,26,True
Resentful Revelation,161,60,37.27,23,True
Talisman of Curiosity,70,26,37.14,10,True
