card_name,games_played,wins,winrate_pct,distinct_drafts,reliable
Mishra's Bauble,175,56,32.0,25,True
Myr Battlesphere,196,62,31.63,28,True
Inventors' Fair,294,93,31.63,42,True
Solemn Simulacrum,210,66,31.43,30,True
Master of Etherium,175,55,31.43,25,True
Etched Champion,182,57,31.32,26,True
Sundering Titan,161,50,31.06,23,True
Phyrexian Revoker,168,52,30.95,24,True
Ensoul Artifact,168,52,30.95,24,True
Steel Overseer,196,60,30.61,28,True
Chromatic Lantern,112,34,30.36,16,True
Trash for Treasure,70,21,30.0,10,True
Karn Liberated,154,46,29.87,22,True
Sword of the Meek,175,52,29.71,25,True
Frogmite,175,52,29.71,25,True
"Skysovereign, Consul Flagship",119,35,29.41,17,True
Icy Manipulator,133,39,29.32,19,True
Tezzeret the Seeker,196,57,29.08,28,True
Lodestone Golem,259,74,28.57,37,True
Reciprocate,7,2,28.57,1,False
Thopter Foundry,196,55,28.06,28,True
Springleaf Drum,161,44,27.33,23,True
Cathartic Reunion,63,17,26.98,9,True
Aether Spellbomb,210,56,26.67,30,True
Sensei's Divining Top,245,65,26.53,35,True
Inkwell Leviathan,203,52,25.62,29,True
Chromatic Sphere,168,43,25.6,24,True
Crystal Shard,91,23,25.27,13,True
Lotus Bloom,84,21,25.0,12,True
Through the Breach,77,19,24.68,11,True
Myr Enforcer,182,44,24.18,26,True
Chromatic Star,175,42,24.0,25,True
Mindslaver,168,40,23.81,24,True
Scarecrone,105,25,23.81,15,True
Blightsteel Colossus,196,46,23.47,28,True
Hedron Archive,161,35,21.74,23,True
Everflowing Chalice,189,41,21.69,27,True
