card_name,games_played,wins,winrate_pct,distinct_drafts,reliable
Bloodwater Entity,217,87,40.09,31,True
Sword Coast Serpent,210,84,40.0,30,True
Filigree Familiar,35,14,40.0,5,True
Mana Leak,287,114,39.72,41,True
Ponder,245,97,39.59,35,True
Spectacle Summit,84,33,39.29,12,True
Coiling Oracle,140,55,39.29,20,True
Savage Mansion,84,33,39.29,12,True
Winding Way,112,44,39.29,16,True
Cryoshatter,161,63,39.13,23,True
Cloudkin Seer,259,101,39.0,37,True
Goblin Motivator,49,19,38.78,7,True
Man-o'-War,266,103,38.72,38,True
Lose Focus,259,100,38.61,37,True
Dark-Dweller Oracle,112,43,38.39,16,True
Peregrine Drake,280,107,38.21,40,True
Mirrorshell Crab,252,96,38.1,36,True
Quandrix Pledgemage,105,40,38.1,15,True
Pulse of Murasa,126,48,38.1,18,True
Quandrix Campus,147,56,38.1,21,True
Simic Growth Chamber,189,72,38.1,27,True
Deluge Virtuoso,21,8,38.1,3,True
Into the Roil,224,85,37.95,32,True
Body Dropper,119,45,37.82,17,True
Phantom Interference,280,105,37.5,40,True
Snap,280,105,37.5,40,True
Sulfurous Blast,112,42,37.5,16,True
Vulshok Morningstar,35,13,37.14,5,True
Murmuring Mystic,259,96,37.07,37,True
Ghostly Flicker,224,83,37.05,32,True
Tempest Angler,189,70,37.04,27,True
Opt,203,75,36.95,29,True
Scholar of Combustion,147,54,36.73,21,True
Titan's Grave,49,18,36.73,7,True
Serum Visions,259,95,36.68,37,True
Impulse,266,97,36.47,38,True
Mystic Sanctuary,266,97,36.47,38,True
Consider,259,94,36.29,37,True
Blightning,91,33,36.26,13,True
Counterspell,266,96,36.09,38,True
Exclude,266,96,36.09,38,True
Unable to Scream,196,70,35.71,28,True
Paradox Gardens,42,15,35.71,6,True
Fields of Strife,28,10,35.71,4,True
Guardian Idol,14,5,35.71,2,True
Gitaxian Probe,287,102,35.54,41,True
Mocking Sprite,231,82,35.5,33,True
Merfolk Looter,203,72,35.47,29,True
Striped Riverwinder,161,57,35.4,23,True
Repeal,210,74,35.24,30,True
Izzet Charm,182,64,35.16,26,True
Fireball,182,64,35.16,26,True
Deranged Assistant,63,22,34.92,9,True
Mechanozoa,98,34,34.69,14,True
Displace,196,67,34.18,28,True
Witness Protection,196,67,34.18,28,True
Brainstorm,273,93,34.07,39,True
Izzet Boilerworks,196,66,33.67,28,True
Behold the Multiverse,224,75,33.48,32,True
Jhessian Thief,210,70,33.33,30,True
Capsize,231,75,32.47,33,True
Ominous Asylum,77,25,32.47,11,True
Hard Evidence,259,84,32.43,37,True
Preordain,266,85,31.95,38,True
Mind Stone,63,20,31.75,9,True
Boiling Rock Prison,77,24,31.17,11,True
Vizier of Tumbling Sands,98,28,28.57,14,True
Bountiful Landscape,7,2,28.57,1,False
Shardless Outlander,14,4,28.57,2,True
Pristine Talisman,21,6,28.57,3,True
Desecrator Hag,7,2,28.57,1,False
Pestermite,133,37,27.82,19,True
Growth Spiral,105,28,26.67,15,True
Prophetic Prism,28,7,25.0,4,True
